1.wav|an22 ts2 oo22 tsch2 i21
385.wav|t2 ak24 gn2 it24 tsch2 in21 s2 e22 gn2 iau23 k2 oon22 l2 au21 v2 i25 tsh2 ir25 gn2 iau23 k2 oon22 k2 e23 th2 ung21 th2 eu23
386.wav|h2 an25 ooi23 ts2 u23 i23 ts2 oo23 m25 t2 et24 l2 au21 gn2 iau23 th2 ooi23 e22 tsh2 eu21 k2 oo23 ieu21 e22 i21 s2 oong23
387.wav|m2 e23 ts2 oo23 m25 t2 et24 l2 au21 gn2 iau23 th2 ooi23 e22 p2 ioong23 t2 i23 th2 i23 n2 ai25 h2 oong23
388.wav|ts2 oo23 m2 a22 k2 e23 ooi23 f2 an21 s2 irn21 n2 e25
389.wav|k2 i22 k2 iu22 ooi23 f2 an21 s2 irn21 it24 p2 ai22
390.wav|m2 oo25 f2 an21 s2 irn21 ts2 oo23 m2 a22 k2 e23 iung25 i23 p2 oot24 tsh2 oong21 e22
391.wav|ng2 ai25 ooi23 gn2 ioong22 p2 an21 ts2 ang23 t2 i21 k2 i23 k2 in21 p2 oot24 tsh2 oong21 e22 l2 e22
392.wav|h2 e23 iu21 tsh2 oong21 e22 v2 ooi23 th2 ung23 m2 oo25
393.wav|ia22 h2 a23 k2 e23 ts2 ir21 s2 ir23 n25 h2 e23 m25 h2 e23 v2 ooi23 k2 am22 k2 ook24 t2 oo22 m25 s2 ung21 s2 oong22
394.wav|n25 sc2 ioong22 ooi23 f2 an21 h2 ioong23 n2 ai23 ph2 ien22 s2 ak24
395.wav|tsh2 oong25 kh2 i25 s2 ooi23 t2 en22 m25 th2 in21 th2 ung21 s2 irn21 th2 i22 h2 e23 m25 h2 e23 v2 ooi23 tsh2 ut24 h2 ien23 m2 un23 th2 i25
396.wav|f2 an21 s2 irn21 k2 e23 s2 ir25 tsc2 iet24 ooi23 ts2 u23 i23 m2 a22 k2 e23 s2 ir23 tsch2 in25
397.wav|m2 oo25 f2 an21 s2 irn21 k2 am22 v2 ooi23 ts2 oo23 m25 t2 et24
398.wav|ng2 ai25 ia22 h2 a23 ooi23 l2 au21 n25 f2 an21 s2 irn21
399.wav|ts2 oo23 t2 et24 m25 f2 an21 s2 irn21 m2 oo25
400.wav|v2 ooi23 m25 s2 ung21 s2 oong22 h2 e23 m2 oo25
401.wav|f2 an21 s2 irn21 s2 oong21 h2 eu22 v2 ooi23 th2 ung23 m2 oo25
402.wav|ng2 ai25 v2 ooi23 tsch2 in23 l2 ioong23 kh2 iang21 s2 u22 t2 eu21
403.wav|m25 f2 an21 s2 irn21 k2 iang21 ph2 a23 ph2 i25 f2 u21 v2 ooi23 p2 oot24 tsh2 oong21 e22
404.wav|ia22 h2 a23 ng2 ai25 ooi23 l2 au21 n25 f2 an21 s2 irn21
405.wav|f2 an21 h2 ioong23 ts2 oo22 ph2 ien22
406.wav|an22 gn2 ioong25 k2 e23 ts2 ir21 s2 ir23 h2 e23 m25 h2 e23 v2 ooi23 k2 am22 k2 ook24 m25 s2 ung21 s2 oong22
407.wav|h2 an25 ts2 oo23 t2 et24
408.wav|tsch2 iang22 m2 un23 k2 i22 k2 iu22 h2 an25 ooi23 ts2 ai23 k2 oo23 f2 an21 s2 irn21 it24 p2 ai22
409.wav|t2 ak24 l2 ioong22 t2 iam22 ts2 ung21 it24 th2 in23 ooi23 f2 an21 s2 irn21 it24 p2 ai22
410.wav|tsch2 iang22 m2 un23 tsh2 oong25 kh2 i25 s2 ooi23 t2 en22 m25 th2 in21 th2 ung21 s2 irn21 th2 i22 h2 e23 m25 h2 e23 v2 ooi23 tsh2 ut24 m2 un23 th2 i25
411.wav|tsh2 oong25 kh2 i25 s2 ooi23 t2 en22 m25 th2 in21 th2 ung21 m2 oo25 f2 an21 s2 irn21 iung25 i23 p2 oot24 tsh2 oong21 e22
412.wav|ts2 oo23 m2 a22 k2 e23 v2 ooi23 p2 oot24 tsh2 oong21 e22
413.wav|m2 oo25 f2 an21 s2 irn21 ph2 i25 f2 u21 tsh2 oong25 kh2 i25 s2 u23 ap24 p2 et24 v2 ooi23 kh2 iam23 h2 iet24 kh2 iet24 ioong21 tsh2 oo23 s2 irn25 s2 u23 s2 oong21
414.wav|ia22 ts2 ung22 k2 e23 s2 oong21 h2 eu22 tsch2 iu23 h2 e23 p2 oot24 tsh2 oong21 e22
415.wav|n2 a23 h2 e23 an22 gn2 ioong25 s2 irn24 tsch2 iu23 h2 e23 tsch2 in23 tsh2 ung23 ieu23
416.wav|k2 u23 s2 oo22 ooi23 kh2 ook24 s2 irt28 ts2 oo23
417.wav|iu21 sc2 i21 ieu23 tsch2 iang22 l2 au21 ng2 ai25 k2 oong22 ng2 ai25 t2 eu21 v2 ooi23 h2 iap28 tsh2 u23 n25
418.wav|f2 uk28 kh2 ien23 iun23 th2 ung23 ooi23 gn2 ioong22 p2 an21 ts2 oo23 ts2 ang23 tsh2 ook28
419.wav|ts2 oo23 m2 a22 k2 e23 ooi23 ts2 oo23 f2 uk28 kh2 ien23 iun23 th2 ung23
420.wav|f2 uk28 kh2 ien23 iun23 th2 ung23 m25 ts2 oo23 ts2 oo23 m25 t2 et24 h2 e23 m2 oo25
421.wav|th2 ai23 k2 ut24 tsc2 iet24 k2 e23 iun23 th2 ung23 h2 e23 gn2 ioong22 p2 an21 ts2 oo23 n2 oo22
422.wav|ts2 oo23 tsch2 ioon25 k2 ut24 tsc2 iet24 iun23 th2 ung23 h2 e23 gn2 ioong22 p2 an21 ts2 oo23 n2 oo22
423.wav|f2 uk28 kh2 ien23 iun23 th2 ung23 k2 i22 k2 iu22 ts2 oo23 it24 p2 ai22
424.wav|f2 uk28 kh2 ien23 iun23 th2 ung23 it24 p2 ai22 ts2 oo23 k2 i22 k2 iu22
425.wav|iu21 n2 ai23 t2 eu21 f2 uk28 kh2 ien23 iun23 th2 ung23 ts2 oo23 t2 et24 ts2 oo23 n2 oo22
426.wav|gn2 ioong22 p2 an21 ts2 oo23 iun23 th2 ung23 ts2 ang23 ts2 oo23 t2 et24 v2 i25 tsh2 ir25 s2 u22 k2 iook24 k2 e23 k2 ung21 n2 en25
427.wav|ng2 ai25 ooi23 gn2 ioong22 p2 an21 ts2 ang23 t2 i21 tsch2 it24 k2 a21 k2 e23 s2 u22 k2 iook24 th2 in21 th2 ung21 k2 ung21 n2 en25 p2 ien23 tsh2 a21 l2 e22
428.wav|n25 s2 ooi23 t2 en22 k2 e23 s2 ir25 k2 ien21 th2 ioong22 k2 iu22 l2 e22
429.wav|s2 u22 k2 iook24 th2 in21 th2 ung21 k2 e23 k2 ung21 n2 en25 h2 a23 tsh2 a21
430.wav|ng2 ai25 ia22 h2 a23 ooi23 l2 au21 n25 ts2 oo23 f2 uk28 kh2 ien23 iun23 th2 ung23
431.wav|ts2 oo23 f2 uk28 kh2 ien23 iun23 th2 ung23 k2 e23 s2 ir25 tsc2 iet24 h2 e23 v2 ooi23 th2 ung23 tsch2 iang22 l2 au21 ng2 ai25 k2 oong22
432.wav|h2 oo22 k2 e23 ooi23 gn2 ioong22 p2 an21 ts2 oo23 n2 oo22
433.wav|th2 en25 ng2 a21 kh2 ieu22 l2 in23 l2 ooi25 ts2 oo23 tsch2 iu23 ts2 oo23 t2 et24
434.wav|h2 e23 p2 it24 ieu23 k2 e23 s2 ir25 tsc2 iet24 ng2 ai25 ia23 v2 ooi23 p2 oong21 tsh2 u23 n25
435.wav|ia22 h2 a23 m2 a25 f2 an25 n25 sc2 ien21 th2 ung21 it24 h2 a23 s2 u22 ts2 ir22 th2 eu25 ts2 oo23 k2 iu23 h2 i22 l2 ooi25 tsh2 un21 tsh2 irt28 s2 irp28 h2 a23
436.wav|l2 ien25 sc2 iuk28 an22 gn2 ioong25 ts2 oo23 tsch2 iu23 ts2 oo23 t2 et24
437.wav|ts2 ai23 k2 oo23 l2 ooi25 tsch2 iu23 h2 e23 th2 ung21 it24 h2 a23 k2 iook24 ts2 ir22 th2 eu25 m2 e23 h2 e23 ts2 oo23 k2 iu23 h2 i22 l2 ooi25 tsh2 un21 tsh2 irt28 s2 irp28 h2 a23
438.wav|ia22 h2 a23 v2 ooi23 m25 s2 ung21 s2 oong22 m2 oo25
439.wav|s2 a23 h2 a21 l2 ooi25 h2 e23 ts2 oo23 k2 ien21 k2 ut24 tsc2 iet24 k2 au22 k2 ut24 tsc2 iet24 l2 au21 tsch2 it24 k2 ut24 tsc2 iet24 k2 e23 tsch2 ioon25 k2 ut24 tsc2 iet24 iun23 th2 ung23
440.wav|ia22 t2 eu21 iun23 th2 ung23 ooi23 ts2 oo23 k2 i22 k2 iu22
441.wav|v2 oon25 ts2 ak24 iun23 th2 ung23 k2 e23 k2 oo23 tsh2 ang25 ooi23 s2 irp28 ng22 t2 oo23 gn2 i23 s2 irp28 f2 un21 ts2 ung21
442.wav|ts2 oo23 ia22 t2 eu21 iun23 th2 ung23 iu21 m2 a22 k2 e23 h2 oo22 tsh2 u23
443.wav|ia22 t2 eu21 iun23 th2 ung23 ts2 oo23 t2 et24 iu21 h2 au22 v2 i25 tsh2 ir25 gn2 ia21 k2 e23 s2 u22 k2 iook24 ts2 ui23 th2 ai23 k2 ung21 n2 en25
444.wav|n25 ooi23 t2 oo21 t2 oo21 l2 ooi25 ph2 i23 h2 ap28
445.wav|ng2 ai25 it24 th2 in23 v2 ooi23 h2 oo22 h2 oo22 l2 ooi25 ts2 oo23 iun23 th2 ung23
446.wav|ng2 ai25 gn2 ioong22 p2 an21 ts2 ang23 t2 i21 tsch2 it24 k2 a21 k2 e23 s2 u22 k2 iook24 th2 in21 th2 ung21 k2 ung21 n2 en25 p2 ien23 tsh2 a21
447.wav|gn2 ia21 k2 e23 s2 u22 k2 iook24 m2 oo25 f2 ap24 th2 u23 tsch2 ioong23 th2 eu25 p2 ai22 an22 gn2 ioong25 th2 in21 th2 ung21 tsch2 iu23 p2 eu22 s2 ir23 k2 ung21 n2 en25 p2 ien23 tsh2 a21
448.wav|m25 ts2 oo23 f2 uk28 kh2 ien23 iun23 th2 ung23 k2 am22 v2 ooi23 ts2 oo23 m25 t2 et24
449.wav|m25 ts2 oo23 f2 uk28 kh2 ien23 iun23 th2 ung23 v2 ooi23 p2 un21 s2 u22 k2 iook24 th2 in21 th2 ung21 k2 ung21 n2 en25 p2 ien23 t2 oo23 h2 an25 kh2 a23 tsh2 a21
450.wav|gn2 iam25 tsh2 ung23 k2 e23 s2 ir25 tsc2 iet24 v2 ooi23 tsh2 oo23 s2 irn25 s2 u22 k2 iook24 tsh2 an25 ts2 oong23
451.wav|f2 uk28 kh2 ien23 iun23 th2 ung23 gn2 ien25 l2 ooi25 h2 e23 an22 tsh2 ung23 ieu23
452.wav|tsch2 iang22 m2 un23 h2 iet24 th2 oong25 gn2 ioong22 p2 an21 tsh2 et24 l2 ioong25
453.wav|h2 iet24 th2 oong25 ooi23 k2 i22 t2 oo21 ts2 ang23 s2 oon23 h2 e23 ts2 irn23 s2 oong25
454.wav|tsch2 iang22 m2 un23 h2 iet24 th2 oong25 ooi23 t2 i23 m2 a22 k2 e23 s2 ir25 tsc2 iet24 tsh2 et24 l2 ioong25
455.wav|th2 oong25 gn2 iau23 ph2 iang23 ts2 oo23 m2 a22 k2 e23 sc2 i21 ieu23 l2 ioong25 h2 iet24 th2 oong25
456.wav|h2 iet24 th2 oong25 k2 i21 ooi23 gn2 ioong22 p2 an21 iung23
457.wav|ooi23 gn2 ioong22 p2 an21 p2 oong21 tsh2 u23 th2 oong25 gn2 iau23 ph2 iang23 ph2 iang23 gn2 in25 kh2 ung22 ts2 ir23 h2 iet24 th2 oong25
458.wav|oon23 s2 ir25 tsh2 et24 l2 ioong25 h2 iet24 th2 oong25 ts2 oo23 m2 a22 k2 e23 tsch2 in23 tsh2 ung23 ieu23
459.wav|h2 e23 k2 oong22 h2 iet24 th2 oong25 tsh2 ut24 h2 ien23 f2 an22 s2 oong25 ooi23 gn2 ioong22 p2 an21 ts2 ang23 h2 oo22 n2 oo22
460.wav|h2 iet24 th2 oong25 tsh2 et24 l2 ioong25 iu21 n2 ai23 t2 eu21 f2 oong21 s2 irt24
461.wav|tsh2 et24 l2 ioong25 h2 iet24 th2 oong25 v2 ooi23 th2 ung23 m2 oo25
462.wav|ng2 ai25 ia22 h2 a23 ooi23 th2 ung25 n25 l2 ioong25 f2 an23 tsch2 ien25 h2 iet24 th2 oong25
463.wav|n25 th2 eu25 p2 ai22 s2 irt24 iung23 h2 iet24 th2 oong25 k2 i21 l2 ioong25 k2 oo23 tsch2 it24 k2 a21 k2 e23 h2 iet24 th2 oong25 m2 oo25
464.wav|ng2 ai25 t2 i23 v2 uk24 h2 a21 h2 e23 t2 i23 s2 irt28 f2 an23 tsch2 ien25 p2 an23 t2 iam22 ts2 ung21 tsh2 et24 l2 ioong25
465.wav|ooi23 kh2 oon23 tsch2 it24 k2 a21 k2 e23 h2 iet24 th2 oong25 h2 e23 m25 h2 e23 v2 un22 th2 in23
466.wav|tsch2 it24 k2 a21 oon23 s2 ir25 l2 ooi25 tsh2 et24 l2 ioong25 h2 iet24 th2 oong25 h2 e23 tsch2 in23 tsh2 ung23 ieu23
467.wav|ng2 ai25 it24 th2 in23 v2 ooi23 ts2 eu23 s2 ir25 k2 ien21 l2 ooi25 tsh2 et24 l2 ioong25
468.wav|ng2 ai25 ia22 h2 a23 ooi23 iung23 h2 iet24 th2 oong25 k2 i21 l2 au21 n25 tsh2 et24 l2 ioong25 h2 iet24 th2 oong25
469.wav|tsch2 iang22 m2 un23 ooi23 gn2 ioong22 p2 an21 tsh2 et24 l2 ioong25
470.wav|t2 i23 gn2 ia21 k2 e23 s2 u22 ts2 ir22 k2 u22 ts2 irm21 tsch2 i22 it24 t2 it24 h2 iet24 tsch2 iu23 ts2 oo23 t2 et24
471.wav|v2 ooi23 iu21 it24 sc2 it28 e22 th2 ung23 tsch2 iang22 gn2 iun21 it24 h2 a23
472.wav|n25 sc2 ioong22 ooi23 k2 u22 n2 ai23 ts2 ak24 s2 u22 ts2 ir22 th2 eu25
473.wav|k2 u22 s2 u22 ts2 ir22 k2 ung21 h2 oo22 l2 e22
474.wav|tsch2 iang22 m2 un23 ng2 a21 h2 iet24 th2 oong25 k2 i22 t2 oo21
475.wav|gn2 ia21 k2 e23 h2 iet24 th2 oong25 it24 p2 ak24 sc2 i23 s2 irp28
476.wav|tsch2 iang22 m2 un23 an22 gn2 ioong25 ts2 irn23 s2 oong25 m2 oo25
477.wav|h2 e23 iu21 h2 a23 k2 oo21 t2 eu21
478.wav|k2 e23 ooi23 gn2 ioong22 p2 an21 ts2 ang23 h2 oo22
479.wav|n25 m2 uk24 tsch2 ien25 iu21 s2 irt28 k2 oong23 h2 iet24 th2 oong25 k2 e23 iook28 e22 l2 ooi25 kh2 ung22 ts2 ir23 m2 oo25
480.wav|n2 ang23 ng2 ooi23 s2 irt28 t2 ung21 sc2 i21 m2 e23 ooi23 h2 oo22 h2 oo22 kh2 ung22 ts2 ir23
481.wav|k2 e23 k2 oong23 h2 iet24 th2 oong25 k2 e23 iook28 e22 ooi23 m2 a22 k2 e23 s2 ir25 tsc2 iet24 s2 irt28
482.wav|f2 an23 tsch2 ien25 ooi23 sc2 ien21 s2 irt28 k2 oong23 h2 iet24 th2 oong25 k2 e23 iook28 e22
483.wav|ng2 ai25 it24 th2 in23 v2 ooi23 k2 i23 t2 et24 oon23 s2 ir25 s2 irt28
